id	HR	HR.95L	HR.95H	pvalue
ARHGEF6	0.782636315793783	0.648600062331925	0.94437179145044	0.0105538980142711
RCSD1	0.683515575695073	0.559428413515944	0.835126588014199	0.000197123828355569
SELL	0.801988691592343	0.693414822980416	0.927562896157129	0.002947957659958
ATP13A4	0.86794987319473	0.781769541303038	0.963630510755254	0.00794686560062724
SPN	0.799826341430146	0.681700690050656	0.938420901991452	0.00615374807480113
PPP1R16B	0.687028004684479	0.577966813559893	0.816668826214231	2.07871959756579e-05
CD52	0.818988321281654	0.697158833914924	0.962107683021334	0.0150965295873046
GIMAP6	0.744270267773809	0.61522713411905	0.900380039780408	0.00236484188387475
CYTIP	0.76908416830336	0.642745514854832	0.920256064437045	0.00413577530171283
FAM3B	0.857155711242381	0.767640589579623	0.95710925567104	0.00616360748824796
IL16	0.725510270290973	0.602616897790115	0.87346563667222	0.000702352223090103
SPATA13	0.732830926401891	0.585989687030573	0.916468631747498	0.00643966807247438
NKG7	0.877527722164544	0.760699236086517	1.01229877280922	0.0730892809855228
CD84	0.858975233605805	0.737716692963909	1.00016504843309	0.0502489705210089
MGAT3	0.765308053507238	0.646687631091736	0.905686746743967	0.00185311888402959
IL2RG	0.787329192909106	0.664455418091619	0.932925281559568	0.00574565427328411
HLF	0.759276392617355	0.665090614228001	0.866800144300929	4.59399724988708e-05
GYPC	0.775502034908946	0.633072600480723	0.949975414654245	0.0140636988563431
LTB	0.81567841904375	0.690040408279858	0.964191770960572	0.016975472279749
CD6	0.747097987811788	0.632792475978951	0.882051264166719	0.000578875147049575
WAS	0.79009790930925	0.655454912940531	0.952399156631977	0.0134506104727623
PRSS12	0.825710700977608	0.722453155488794	0.943726463825387	0.00495863695182929
NFAM1	0.861134625551321	0.723758982436956	1.02458534031114	0.0917855079536822
RASAL3	0.727314055046547	0.605744973606682	0.87328126145002	0.000644958426398837
CYP4X1	0.87877258198446	0.780929328632965	0.988874693948887	0.0318949961702063
GPRIN3	0.781878570798357	0.648788612712239	0.942270082266116	0.00975017273198129
LSAMP	0.857838944169427	0.729819467984001	1.00831464001156	0.0629493887994728
TJP3	0.862467177547989	0.760522471693389	0.978077124652647	0.0211472308911312
WDFY4	0.779347939846279	0.67050116125929	0.905864518119393	0.00116189888471446
SYCP2	0.767209557458038	0.663579469015606	0.887023382336014	0.000344659879643326
NOS2	0.869108784072393	0.758884920855796	0.995342057528279	0.042617619140165
CCR5	0.816370077134343	0.696394113898639	0.957015703520631	0.0123594391941135
EVI2B	0.79882456059832	0.66989741205119	0.952564776539751	0.0123808833835769
TIGIT	0.791967182985263	0.675763375103747	0.928153318207456	0.00396538813110096
FOXP3	0.758026707492458	0.629728655126584	0.912463621583733	0.00340889715564711
ITM2A	0.760813242245936	0.630852744870796	0.917546597495306	0.00423156313111295
SPIB	0.727933557273058	0.596287172551337	0.888644411948318	0.00180921581312054
FAM78A	0.71550748343815	0.572265134807158	0.894604489627893	0.00331268031599166
APBB1IP	0.789639023068494	0.657331262017849	0.948577715349304	0.0115969951021683
CD3D	0.780123086924668	0.660905989355474	0.920845083196146	0.00334031944901333
FMO3	0.851927626853006	0.72923944917136	0.99525702047538	0.0433949837172896
MEI1	0.731754913962061	0.615620744457682	0.869797288230322	0.000397048537196175
PRKCB	0.779201194554812	0.652646456637535	0.930296174016992	0.00579828019560365
CGNL1	0.848350096394254	0.731433320698975	0.983955564622597	0.0297240378289986
NEFH	0.77061253443984	0.629575553488031	0.943244500117146	0.0115204230732689
IRF4	0.751921900406371	0.64102913028495	0.881998208192821	0.000461129713157788
TBC1D10C	0.733440841126768	0.619625358538907	0.868162446903734	0.000314390275868911
CD5	0.697477026494023	0.590422618761043	0.823942354220394	2.25731677384415e-05
PCP4L1	0.882992129213875	0.781905737610116	0.997147178682585	0.0448542623923022
KIT	0.722631679331253	0.606640325613198	0.860800909410804	0.000273620932704123
CD96	0.735139314070007	0.614142012471423	0.879975315345271	0.000797982392468512
CCR7	0.71360958929525	0.606474961757804	0.839669694620468	4.79495042571992e-05
FAT4	0.749555483738809	0.629063300438787	0.893127007744733	0.00126394567186351
PIK3CG	0.758533001887898	0.626093702765595	0.91898754517338	0.0047593346628256
BIN2	0.765347506694638	0.633996240249192	0.923912113064689	0.00537343420713989
STAG3	0.762369622931482	0.635209403123622	0.914985576584069	0.00356532847033931
CD247	0.768730545435268	0.647928951312356	0.912054709529903	0.00256698469328405
ZAP70	0.69894728932585	0.596157568035007	0.819460054606347	1.01822314352323e-05
TMEM150C	0.757682233316595	0.622178709859308	0.922696899759621	0.00577552018996632
CXCR6	0.759909673340432	0.637263261438824	0.906160368216674	0.00223411051632483
GIMAP7	0.690773420030815	0.563834750377147	0.846290366994748	0.000355742162059986
LGR5	0.910690968412574	0.797597558033601	1.03982018449622	0.166727693736127
TAGAP	0.762828174551934	0.629896082290007	0.923814007184637	0.00558657076993097
IL34	0.752381488516048	0.625669836020499	0.90475498685073	0.00249703736026766
MAP4K1	0.72922969537817	0.610390203600055	0.871206558501345	0.000503177525810928
SELP	0.778665277684411	0.675757129202718	0.897244865750359	0.000541797106048375
MYB	0.804187756852886	0.67945823992896	0.951814122292038	0.0112678024603105
SCUBE2	0.907444889888353	0.761149328318926	1.08185896978083	0.278905524543293
RNF212	0.850362867357091	0.745542327397748	0.969920794039625	0.0157357216475223
MS4A1	0.716766071201362	0.609250454565564	0.843255178515668	5.91964078109029e-05
MAN1C1	0.788585958433655	0.641763988304017	0.968997676984228	0.0238478905501676
BTK	0.775599059295984	0.627222148265362	0.959076305650982	0.0189935080727489
IL21R	0.766788298216925	0.63918751486066	0.91986198198909	0.0042436927332692
ITK	0.721088240658754	0.609302952723365	0.853382128696843	0.000141942680655689
ZNF114	1.2532960647504	1.07108332961686	1.46650683703641	0.00485263310012772
FCRL5	0.774072799804855	0.672695141658517	0.890728447838109	0.000349370687048421
C3orf70	0.764531972271104	0.631100856203923	0.926173892617691	0.00607539938597685
CYP4F12	0.90235239487137	0.789756294454674	1.03100139909911	0.130789523164527
DERL3	0.779359922090608	0.66230459612565	0.917103537729102	0.00268122118310443
